,index,ci_course_no,test_time,ci_class_name,ci_student_number,ci_teacher_name,ci_class_unit
69,69,T5130F4001,0,"产品设计（工业产品设计）191班,视觉传达（品牌设计）192班,环境设计（室内设计）191班,视觉传达（包装设计）193班,环境设计（景观设计）192班,视觉传达（广告设计）191班,产品设计（建筑产品设计）192班",32,-1,大学英语
70,70,T5130F4001,0,"产品设计（工业产品设计）191班,视觉传达（品牌设计）192班,环境设计（室内设计）191班,视觉传达（包装设计）193班,环境设计（景观设计）192班,视觉传达（广告设计）191班,产品设计（建筑产品设计）192班",32,-1,大学英语
71,71,T5130F4001,0,"产品设计（工业产品设计）191班,视觉传达（品牌设计）192班,环境设计（室内设计）191班,视觉传达（包装设计）193班,环境设计（景观设计）192班,视觉传达（广告设计）191班,产品设计（建筑产品设计）192班",29,-1,大学英语
72,72,T5130F4001,0,"视觉传达（品牌设计）192班,产品设计（工业产品设计）191班,环境设计（室内设计）191班,视觉传达（包装设计）193班,环境设计（景观设计）192班,视觉传达（广告设计）191班,产品设计（建筑产品设计）192班",32,-1,大学英语
73,73,T5130F4001,0,"产品设计（工业产品设计）191班,视觉传达（品牌设计）192班,环境设计（室内设计）191班,视觉传达（包装设计）193班,环境设计（景观设计）192班,视觉传达（广告设计）191班,产品设计（建筑产品设计）192班",32,-1,大学英语
74,74,T5130F4001,0,"产品设计（工业产品设计）191班,视觉传达（品牌设计）192班,环境设计（室内设计）191班,视觉传达（包装设计）193班,环境设计（景观设计）192班,视觉传达（广告设计）191班,产品设计（建筑产品设计）192班",32,-1,大学英语
75,75,T5130F4001,0,"广播电视编导191班,广播电视编导192班,播音与主持艺术191班,播音与主持艺术192班",33,-1,大学英语
76,76,T5130F4001,0,"广播电视编导191班,广播电视编导192班,播音与主持艺术191班,播音与主持艺术192班",35,-1,大学英语
77,77,T5130F4001,0,"广播电视编导191班,广播电视编导192班,播音与主持艺术191班,播音与主持艺术192班",30,-1,大学英语
78,78,T5130F4001,0,"服装与服饰设计191班,绘画（油画方向）191班,动画191班,动画192班,绘画（综合材料造型）192班",31,-1,大学英语
79,79,T5130F4001,0,"服装与服饰设计191班,绘画（油画方向）191班,动画191班,动画192班,绘画（综合材料造型）192班",29,-1,大学英语
80,80,T5130F4001,0,"服装与服饰设计191班,绘画（油画方向）191班,动画191班,动画192班,绘画（综合材料造型）192班",29,-1,大学英语
81,81,T5130F4001,0,"服装与服饰设计191班,绘画（油画方向）191班,动画191班,动画192班,绘画（综合材料造型）192班",27,-1,大学英语
82,82,T5130F4001,0,"法学类191班,法学类192班,法学191班,法学192班",31,-1,大学英语
83,83,T5130F4001,0,"法学类191班,法学191班",30,-1,大学英语
84,84,T5130F4001,0,"法学类192班,法学类193班,法学192班,法学193班",30,-1,大学英语
85,85,T5130F4001,0,"法学类193班,法学193班,知识产权191班",31,-1,大学英语
86,86,T5130F4001,0,"法学类191班,法学类192班,法学类193班,法学类194班,法学191班,法学192班,法学193班,知识产权191班,法学（卓越法律人才）194班",27,-1,大学英语
87,87,T5130F4001,0,计算机类194班,31,-1,大学英语
88,88,T5130F4001,0,计算机类192班,33,-1,大学英语
89,89,T5130F4001,0,计算机类195班,32,-1,大学英语
90,90,T5130F4001,0,计算机类196班,32,-1,大学英语
91,91,T5130F4001,0,计算机类193班,34,-1,大学英语
92,92,T5130F4001,0,机械设计制造及其自动化196班,26,-1,大学英语
93,93,T5130F4001,0,"生物科学类191班,生物科学类192班,生物科学类193班,生物科学类194班,生物科学类195班,生物科学类196班,生物科学191班,生物科学192班,水产养殖学（卓越）191班,生物技术191班,生物技术192班,生态学191班",34,-1,大学英语
94,94,T5130F4001,0,化学类192班,28,-1,大学英语
95,95,T5130F4001,0,化学类193班,30,-1,大学英语
96,96,T5130F4001,0,化学类194班,32,-1,大学英语
97,97,T5130F4001,0,化学类195班,30,-1,大学英语
98,98,T5130F4001,0,"电气工程及其自动化191班,测控技术与仪器192班",29,-1,大学英语
99,99,T5130F4001,0,"自动化191班,自动化192班,自动化193班,电气工程及其自动化191班,电气工程及其自动化192班,电气工程及其自动化193班,测控技术与仪器191班,测控技术与仪器192班,2019级本硕实验班",37,-1,大学英语
100,100,T5130F4001,0,"自动化191班,自动化192班,自动化193班,电气工程及其自动化191班,电气工程及其自动化192班,电气工程及其自动化193班,测控技术与仪器191班,测控技术与仪器192班,2019级本硕实验班",29,-1,大学英语
101,101,T5130F4001,0,"自动化191班,自动化192班,自动化193班,电气工程及其自动化191班,电气工程及其自动化192班,电气工程及其自动化193班,测控技术与仪器191班,测控技术与仪器192班,2019级本硕实验班",29,-1,大学英语
102,102,T5130F4001,0,"自动化191班,自动化192班,自动化193班,电气工程及其自动化191班,电气工程及其自动化192班,电气工程及其自动化193班,测控技术与仪器191班,测控技术与仪器192班,2019级本硕实验班",31,-1,大学英语
103,103,T5130F4001,0,"自动化191班,自动化192班,自动化193班,电气工程及其自动化191班,电气工程及其自动化192班,电气工程及其自动化193班,测控技术与仪器191班,测控技术与仪器192班,2019级本硕实验班",29,-1,大学英语
104,104,T5130F4001,0,"自动化191班,自动化192班,自动化193班,电气工程及其自动化191班,电气工程及其自动化192班,电气工程及其自动化193班,测控技术与仪器191班,测控技术与仪器192班,2019级本硕实验班",30,-1,大学英语
105,105,T5130F4001,0,"自动化191班,自动化192班,自动化193班,电气工程及其自动化191班,电气工程及其自动化192班,电气工程及其自动化193班,测控技术与仪器191班,测控技术与仪器192班,2019级本硕实验班",26,-1,大学英语
106,106,T5130F4001,0,"自动化191班,自动化192班,自动化193班,电气工程及其自动化191班,电气工程及其自动化192班,电气工程及其自动化193班,测控技术与仪器191班,测控技术与仪器192班,2019级本硕实验班",29,-1,大学英语
107,107,T5130F4001,0,"自动化191班,自动化192班,自动化193班,电气工程及其自动化191班,电气工程及其自动化192班,电气工程及其自动化193班,测控技术与仪器191班,测控技术与仪器192班,2019级本硕实验班",30,-1,大学英语
108,108,T5130F4001,0,"音乐学（音乐剧）195班,音乐学（音乐教育）191班,音乐学（音乐教育）192班,音乐学（音乐教育）193班,音乐学（音乐表演）194班",30,-1,大学英语
