T5130F4001,0,行政管理192班,32,-1,大学英语
T5130F4001,0,行政管理191班,30,-1,大学英语
T5130F4001,0,行政管理193班,30,-1,大学英语
T5130F4001,0,信息安全193班,31,-1,大学英语
T5130F4001,0,信息安全194班,31,-1,大学英语
T5130F4001,0,信息安全191班,32,-1,大学英语
T5130F4001,0,信息安全192班,33,-1,大学英语
T5130F4001,0,信息安全195班,32,-1,大学英语
T5130F4001,0,信息安全196班,31,-1,大学英语
T5130F4001,0,数学与应用数学192班,29,-1,大学英语
T5130F4001,0,表演191班,31,-1,大学英语
T5130F4001,0,软件工程1903班,30,-1,大学英语
T5130F4001,0,软件工程1904班,30,-1,大学英语
T5130F4001,0,软件工程1912班,30,-1,大学英语
T5130F4001,0,软件工程1911班,30,-1,大学英语
T5130F4001,0,软件工程1909班,32,-1,大学英语
T5130F4001,0,软件工程1906班,31,-1,大学英语
T5130F4001,0,软件工程1905班,30,-1,大学英语
T5130F4001,0,软件工程1908班,32,-1,大学英语
T5130F4001,0,软件工程1910班,29,-1,大学英语
T5130F4001,0,软件工程1907班,29,-1,大学英语
T5130F4001,0,软件工程1901班,32,-1,大学英语
T5130F4001,0,软件工程1902班,34,-1,大学英语
T5130F4001,0,舞蹈学193班,29,-1,大学英语
T5130F4001,0,舞蹈学192班,31,-1,大学英语
T5130F4001,0,能源与动力工程192班,29,-1,大学英语
T5130F4001,0,能源与动力工程191班,33,-1,大学英语
T5130F4001,0,能源与动力工程193班,31,-1,大学英语
T5130F4001,0,广播电视学191班,32,-1,大学英语
T5130F4001,0,广播电视学192班,30,-1,大学英语
T5130F4001,0,土木工程（建筑工程方向）193班,31,-1,大学英语
T5130F4001,0,土木工程（建筑工程方向）191班,30,-1,大学英语
T5130F4001,0,土木工程（建筑工程方向）192班,32,-1,大学英语
T5130F4001,0,金融数学191班,31,-1,大学英语
T5130F4001,0,广告学191班,28,-1,大学英语
T5130F4001,0,广告学192班,29,-1,大学英语
T5130F4001,0,化学类191班,31,-1,大学英语
T5130F4001,0,计算机类191班,33,-1,大学英语
T5130F4001,0,"电子商务191班,电子商务192班",31,-1,大学英语
T5130F4001,0,信息管理与信息系统192班,31,-1,大学英语
T5130F4001,0,信息管理与信息系统191班,29,-1,大学英语
