ci_course_no,ci_course_name,ci_teacher_name,ci_teacher_group,ci_class_name,ci_student_number,ci_class_att,ci_class_sign,ci_class_dep,ci_class_stat,ci_exam_type,ci_union_no,ci_original_remark,ci_appoint,ci_remark
Z6210B0111,体育课程与教学论,,,体育教育182班,24,必修,1,教育学院,0,笔试考试,,,0,
Z6210B0111,体育课程与教学论,,,体育教育181班,25,必修,1,教育学院,0,笔试考试,,,0,
Z6210X0020,运动处方理论与实践,,,体育教育182班,0,选修,1,教育学院,0,笔试考试,,,0,
Z6210X0020,运动处方理论与实践,,,体育教育181班,0,选修,1,教育学院,0,笔试考试,,,0,
Z6210X0016,运动生物力学概论,,,体育教育182班,0,选修,1,教育学院,0,笔试考试,,,0,
Z6210X0016,运动生物力学概论,,,体育教育181班,0,选修,1,教育学院,0,笔试考试,,,0,
501ZP109,现代汉语概论,孙洪忠,,俄语201班,15,必修,1,人文学院,0,笔试考试,,,0,
512ZP505,俄语视听（1）,张勉,,俄语201班,15,必修,1,外语学院,0,笔试考试,,该课程不对外专业开放,0,
512ZH500,俄语国家概况,颜国琴,,俄语201班,15,选修,1,外语学院,0,笔试考试,,该课程不对外专业开放,0,
512ZP504,俄语会话（1）,安娜·亚历山大,,俄语201班,15,必修,1,外语学院,0,口试考试,,该课程不对外专业开放,0,
512ZP503,基础俄语（2）,谭英,,俄语201班,15,必修,1,外语学院,0,笔试考试,,该课程不对外专业开放,0,
T7210P4006,形势与政策（4）,杨佳能,,"药学193班,临床药学191班",74,必修,1,马克思主义学院,0,笔试考试,,,0,
Z8100X0050,医学伦理学,晏庆琴,,临床药学191班,27,选修,1,医学院,0,笔试考试,,,0,
J81A0Y0047,分子生物学（Ⅱ）,刘卓琦,,临床药学191班,5,选修,1,医学院,0,笔试考试,,,0,
J81E0Y0013,药用植物学与生药学,凌云,,临床药学191班,30,必修,1,医学院,0,笔试考试,,,0,
Z81E0X0026,药物毒理学,,,临床药学191班,32,选修,1,医学院,0,笔试考试,,,0,
Z521KB0005,毕业实习,,,音乐学（音乐表演）176班,27,必修,1,艺术学院,0,课程设计,,,0,
Z524KB0002,毕业实习（1）,,,工业设计171班,30,必修,1,艺术学院,0,笔试考试,,,0,
Z524KB0003,毕业设计（1）,,,工业设计171班,30,必修,1,艺术学院,0,笔试考试,,,0,
Z5310B0040,物权法,邓建中,,法学192班,35,必修,1,法学院,0,笔试考试,,,0,
Z5310B0040,物权法,邓建中,,法学191班,36,必修,1,法学院,0,笔试考试,,,0,
Z5310B0040,物权法,姜川,,法学193班,35,必修,1,法学院,0,笔试考试,,,0,
T5130F4001,学术英语,,,"法学类[191-4]班,法学[191-3]班,知识产权191班,法学（卓越法律人才）194班",1,必修,1,大学英语,0,笔试考试,,19??,0,
Z5310B0028,合同法,史志磊,,法学[191-2]班,70,必修,1,法学院,0,笔试考试,,,0,
Z5310B0028,合同法,姜川,,法学193班,35,必修,1,法学院,0,笔试考试,,,0,
J5310R0027,国际法,张志勋,,"法学192班,法学（卓越法律人才）194班",64,必修,1,法学院,0,笔试考试,,,0,
J5310R0027,国际法,顾兴斌,,法学191班,44,必修,1,法学院,0,笔试考试,,,0,
J5310R0027,国际法,商韬,,法学193班,36,必修,1,法学院,0,笔试考试,,,0,
J5310R0016,刑法分论,胡东平,,法学192班,35,必修,1,法学院,0,笔试考试,,,0,
J5310R0016,刑法分论,黄悦,,法学191班,41,必修,1,法学院,0,笔试考试,,,0,
J5310R0016,刑法分论,蔡荣,,法学193班,35,必修,1,法学院,0,笔试考试,,,0,
J5310R0018,民事诉讼法,涂书田,,法学[191-2]班,71,必修,1,法学院,0,笔试考试,,,0,
J5310R0018,民事诉讼法,刘冬京,,法学193班,35,必修,1,法学院,0,笔试考试,,,0,
J5310R0009,经济法,陆明,,法学[191-2]班,71,必修,1,法学院,0,笔试考试,,,0,
J5310R0009,经济法,蓝寿荣,,法学193班,38,必修,1,法学院,0,笔试考试,,,0,
Z7720X0003,市场营销学,徐晓芳,,信息管理与信息系统[191-2]班,49,选修,1,管理学院,0,笔试考试,,该课程不对外专业开放,0,
J7720S0012,财务管理,叶雯琪,,信息管理与信息系统[191-2]班,59,必修,1,管理学院,0,笔试考试,,该课程不对外专业开放,0,
Z7720B0003,企业资源计划,朱益平,,信息管理与信息系统[191-2]班,56,必修,1,管理学院,0,笔试考试,,该课程不对外专业开放,0,
Z7720X0002,JAVA语言程序设计,郭路生,,"信息管理与信息系统[191-2]班,电子商务[191-2]班",105,选修,1,管理学院,0,笔试考试,,该课程不对外专业开放,0,
J7720S0011,数据库原理,曾群,,"信息管理与信息系统[191-2]班,电子商务[191-2]班",109,必修,1,管理学院,0,笔试考试,,该课程不对外专业开放,0,
Z5040X0035,电视广告,佟霏,,广告学（双学位）191班,0,选修,1,新闻学院,0,笔试考试,,,0,
Z5040X0034,CI策划设计,陈环,,广告学（双学位）191班,0,选修,1,新闻学院,0,笔试考试,,,0,
101CL001,大学生职业发展与就业指导,余琼,,车辆工程[201-3]班,100,必修,1,公共课排课,0,笔试考试,,,0,
590GL005,工程制图（1）下,胡莹,,车辆工程[201-2]班,72,必修,1,机电学院,0,笔试考试,,,0,
720GS002,中国近现代史纲要,鄢玉枝,,车辆工程[201-3]班,99,必修,1,马克思主义学院,0,笔试考试,,,0,
550GL019,线性代数,张芳,,车辆工程[201-3]班,99,必修,1,理学院,0,笔试考试,,,0,
104GT002,军事理论,张大海,,"生物工程[201-2]班,食品科学与工程类[205-6]班",108,必修,1,公共课排课,0,笔试考试,,,0,
792ZP004,普通生物学,李海星:李燕萍:万翠香,,生物工程[201-2]班,43,必修,1,食品学院,0,笔试考试,,,0,
720GS001,思想道德修养与法律基础,陈志兴,,"运动训练[201-2]班,生物工程[201-2]班,音乐学206班",140,必修,1,马克思主义学院,0,笔试考试,,,0,
590GL008,工程制图（3）,游步东,,生物工程[201-2]班,47,必修,1,机电学院,0,笔试考试,,,0,
J5700N0007,工程管理,王涛:谌伟庆,,"高分子材料与工程（聚合物复合材料方向）182班,高分子材料与工程（高分子材料方向）181班",55,必修,1,材料学院,0,笔试考试,,,0,
Z5700X0001,复合材料概论,黄伯芬,,高分子材料与工程（高分子材料方向）181班,29,选修,1,材料学院,0,笔试考试,,,0,
Z5700X0005,涂料与胶粘剂,欧阳志强,,高分子材料与工程（高分子材料方向）181班,28,选修,1,材料学院,0,笔试考试,,,0,
Z5700X0006,高聚物合成工艺学,王涛,,高分子材料与工程（高分子材料方向）181班,29,选修,1,材料学院,0,笔试考试,,,0,
Z5700X0007,聚合反应工程与设备,王涛,,高分子材料与工程（高分子材料方向）181班,28,选修,1,材料学院,0,笔试考试,,,0,
Z5700B0037,过程控制原理,孙韡,,高分子材料与工程（高分子材料方向）181班,29,必修,1,材料学院,0,笔试考试,,,0,
Z5700X0004,功能高分子,欧阳志强,,高分子材料与工程（高分子材料方向）181班,28,选修,1,材料学院,0,笔试考试,,,0,
Z5700B0009,高分子材料分析测试技术,伍洋:周魏华,,"高分子材料与工程（聚合物复合材料方向）182班,高分子材料与工程（高分子材料方向）181班",57,必修,1,材料学院,0,笔试考试,,,0,
Z5430X0062,资本运营与公司治理,钱晶晶,,"经济学（经济统计学）181班,会计学（公司理财）181班,经济学（现代经济学）[181-2]班",40,选修,1,经管学院,0,笔试考试,,,0,
Z5210X0012,音乐市场营销与策划,,,音乐学（音乐科技与艺术管理方向）186班,0,选修,1,艺术学院,0,笔试考试,,,0,
Z5210X0001,文化经济学,,,音乐学（音乐科技与艺术管理方向）186班,0,选修,1,艺术学院,0,笔试考试,,,0,
Z5210X0029,江西民间音乐欣赏,,,音乐学（音乐科技与艺术管理方向）186班,0,选修,1,艺术学院,0,笔试考试,,,0,
Z521KX2006,配器（2）,杨音,,音乐学（音乐科技与艺术管理方向）186班,22,选修,1,艺术学院,0,笔试考试,,,0,
Z521KX0014,基本作曲技法,,,音乐学（音乐科技与艺术管理方向）186班,0,选修,1,艺术学院,0,笔试考试,,,0,
Z6010B0044,绿色建筑材料,王信刚,,建筑环境与能源应用工程191班,30,必修,1,建筑工程学院,0,笔试考试,,,0,
Z6010B0053,房屋建筑学,李霞,,建筑环境与能源应用工程191班,32,必修,1,建筑工程学院,0,笔试考试,,,0,
J6030G0501,热质交换原理与设备,罗娜,,建筑环境与能源应用工程191班,33,必修,1,建筑工程学院,0,笔试考试,,,0,
J6010G0001,传热学,彭冬根,,建筑环境与能源应用工程191班,31,必修,1,建筑工程学院,0,笔试考试,,,0,
Z5110B0006,美国文学史,唐苇,,英语（英日方向）181班,25,必修,1,外语学院,0,笔试考试,,,0,
Z5110X0049,国际商务英语,钟达锋,,英语（英日方向）181班,25,选修,1,外语学院,0,笔试考试,,,0,
Z5110X0042,英汉对比,王丽萍,,英语（英日方向）181班,25,选修,1,外语学院,0,笔试考试,,,0,
Z5110X0019,英国文学选读,涂志琴,,英语（英日方向）181班,25,选修,1,外语学院,0,笔试考试,,,0,
Z5110X0020,高级英汉笔译,欧阳友珍,,英语（英日方向）181班,24,选修,1,外语学院,0,笔试考试,,,0,
Z5110B2001,高级英语（2）,姚倩,,英语（英日方向）181班,25,必修,1,外语学院,0,笔试考试,,,0,
Z5110X1011,高级日语（1）,张璋,,英语（英日方向）181班,25,选修,1,外语学院,0,笔试考试,,,0,
Z511KX0043,中级口译,黄秋菊,,英语（英日方向）181班,19,选修,1,外语学院,0,笔试考试,,,0,
Z511KX0030,英语影视欣赏,周敏,,英语（英日方向）181班,13,选修,1,外语学院,0,笔试考试,,,0,
T7210P4006,形势与政策（4）,王昊,,"俄语191班,日语[191-2]班,德语191班,西班牙语191班,法语191班",126,必修,1,马克思主义学院,0,笔试考试,,,0,
J5120R3406,西班牙语泛读（3）,熊辩,,西班牙语191班,19,必修,1,外语学院,0,笔试考试,,,0,
T5120F3001,二外英语（3）,郭希,,"西班牙语191班,法语191班",41,必修,1,外语学院,0,笔试考试,,,0,
J5120R2402,中级西班牙语（2）,丛越,,西班牙语191班,19,必修,1,外语学院,0,笔试考试,,,0,
T5130F4001,学术英语,,,"体育教育[191-2]班,运动训练[191-2]班",0,必修,1,大学英语,0,笔试考试,,19??,0,
Z6210B0005,运动技能学习导论,段卫东:黄晓晓:赵广高,,"体育教育[191-2]班,运动训练[191-2]班",96,必修,1,教育学院,0,笔试考试,,,0,
Z6210X0027,体育经济学概论,,,运动训练192班,0,选修,1,教育学院,0,笔试考试,,,0,
Z6210X0027,体育经济学概论,,,运动训练191班,0,选修,1,教育学院,0,笔试考试,,,0,
T7210P0002,马克思主义基本原理,胡传明,,"应用心理学[191-2]班,运动训练[191-2]班",107,必修,1,马克思主义学院,0,笔试考试,,,0,
J6210S0009,体育心理学,王惠敏,,"体育教育[191-2]班,运动训练[191-2]班",97,必修,1,教育学院,0,笔试考试,,,0,
Z6210X2002,副修专项（2）★,,,运动训练[191-2]班,42,选修,1,教育学院,0,笔试考试,,,0,
Z6210B4202,主修专项训练与实践（4）,段卫东,,运动训练[191-2]班,51,必修,1,教育学院,0,笔试考试,,,0,
Z6210X0024,羽毛球,,,运动训练192班,0,选修,1,教育学院,0,笔试考试,,,0,
Z6210X0024,羽毛球,,,运动训练191班,0,选修,1,教育学院,0,笔试考试,,,0,
Z6210X0052,篮球,,,运动训练192班,0,选修,1,教育学院,0,笔试考试,,,0,
Z6210X0052,篮球,,,运动训练191班,0,选修,1,教育学院,0,笔试考试,,,0,
Z6210B0004,游泳基础,朱昱,,运动训练[191-2]班,51,必修,1,教育学院,0,笔试考试,,,0,
544ZP003,会计学,钱晶晶,,工商管理（第二学士学位）201班,35,必修,1,经管学院,0,笔试考试,,,0,
542ZP006,宏观经济学,柏玲,,工商管理（第二学士学位）201班,34,必修,1,经管学院,0,笔试考试,,,0,
541ZH003,组织行为学,兰天,,工商管理（第二学士学位）201班,33,选修,1,经管学院,0,笔试考试,,,0,
543ZP007,金融学,万弋芳,,"经济学（第二学士学位）201班,工商管理（第二学士学位）201班",60,选修,1,经管学院,0,笔试考试,,,0,
545ZH006,国际贸易管理,郭有钦,,工商管理（第二学士学位）201班,33,选修,1,经管学院,0,笔试考试,,,0,
541ZH002,人力资源管理,孙娟,,工商管理（第二学士学位）201班,33,选修,1,经管学院,0,笔试考试,,,0,
560ZP014,遗传学实验,刘金龙,,"生态学（第二学士学位）201班,水产养殖学（第二学士学位）201班,生物科学（第二学士学位）201班,生物技术（第二学士学位）201班",29,必修,1,生命学院,0,操作考核,,不对外专业开放,0,
560ZH026,水化学实验,范丽华:阳钢,,水产养殖学（第二学士学位）201班,3,选修,1,生命学院,0,操作考核,,不对外专业开放,0,
560ZH024,鱼类学实验,胡茂林:简少卿,,水产养殖学（第二学士学位）201班,3,选修,1,生命学院,0,操作考核,,不对外专业开放,0,
560ZX047,生态学（双语）,葛刚:夏斌,,水产养殖学（第二学士学位）201班,3,选修,1,生命学院,0,笔试考试,,不对外专业开放,0,
560ZH023,鱼类学,胡茂林,,水产养殖学（第二学士学位）201班,3,选修,1,生命学院,0,笔试考试,,不对外专业开放,0,
560ZH027,鱼类增养殖学,简少卿:阳钢:赵大显,,水产养殖学（第二学士学位）201班,3,选修,1,生命学院,0,笔试考试,,不对外专业开放,0,
560ZH025,水化学,范丽华:阳钢,,水产养殖学（第二学士学位）201班,3,选修,1,生命学院,0,笔试考试,,不对外专业开放,0,
560ZP011,生物化学（下）,毛慧玲:向阳,,"生态学（第二学士学位）201班,水产养殖学（第二学士学位）201班,生物科学（第二学士学位）201班,生物技术（第二学士学位）201班",29,必修,1,生命学院,0,笔试考试,,不对外专业开放,0,
560ZP012,生物化学实验（下）,毛慧玲:向阳,,"生态学（第二学士学位）201班,水产养殖学（第二学士学位）201班,生物科学（第二学士学位）201班,生物技术（第二学士学位）201班",29,必修,1,生命学院,0,操作考核,,不对外专业开放,0,
720GS006,形势与政策（2）,曹文华:刘越:周婵媛,,"经济学（新结构经济学实验班）201班,人工智能201班,汉语言文学（国学班）201班,前湖学院综合实验班201班,新功能材料与技术201实验班",187,必修,1,马克思主义学院,0,课程论文（报告）,,,0,
Z5310B0040,物权法,魏盛礼,,法学（卓越法律人才）194班,31,必修,1,法学院,0,笔试考试,,,0,
Z5310X0099,法律论文写作,熊永明,,法学（卓越法律人才）194班,27,选修,1,法学院,0,笔试考试,,,0,
Z5310B0028,合同法,杨峰,,法学（卓越法律人才）194班,29,必修,1,法学院,0,笔试考试,,,0,
J5310R0016,刑法分论,石聚航,,法学（卓越法律人才）194班,28,必修,1,法学院,0,笔试考试,,,0,
J5310R0018,民事诉讼法,周良慧,,法学（卓越法律人才）194班,31,必修,1,法学院,0,笔试考试,,,0,
J5310R0009,经济法,蓝寿荣,,"知识产权191班,法学（卓越法律人才）194班",47,必修,1,法学院,0,笔试考试,,,0,
720GS006,形势与政策（2）,吴映霖:严济,,麻醉学[201-2]班,101,必修,1,马克思主义学院,0,课程论文（报告）,,,0,
420ZP201,麻醉学科导论,蔡婧:丁剑午:龚丹:胡家丽:刘建辉:刘鹊凌:毛野:汪华:吴建兵:熊乐:易烽明:易汉杰:曾雷:曾治民,,麻醉学202班,52,必修,1,医学院,0,笔试考试,,,0,
420ZP201,麻醉学科导论,陈世彪:雷恩骏:刘芬:张学学,,麻醉学201班,61,必修,1,医学院,0,笔试考试,,,0,
421ZH201,麻醉解剖学,,,麻醉学202班,52,选修,1,医学院,0,笔试考试,,,0,
421ZH201,麻醉解剖学,陈世彪:雷恩骏:章扬:张学康,,麻醉学201班,53,选修,1,医学院,0,笔试考试,,,0,
550GL005,医用物理,代国红,,麻醉学[201-2]班,104,必修,1,理学院,0,笔试考试,,,0,
210GX001,大学生心理健康指导,,,麻醉学202班,51,必修,1,公共课排课,0,笔试考试,,,0,
210GX001,大学生心理健康指导,,,麻醉学201班,50,必修,1,公共课排课,0,笔试考试,,,0,
422ZX005,传染病预防校园安全教育,周跃平,,"麻醉学[201-2]班,康复治疗学201班",126,选修,1,医学院,0,笔试考试,,,0,
720GS002,中国近现代史纲要,颜志,,麻醉学[201-2]班,101,必修,1,马克思主义学院,0,笔试考试,,,0,
421ZP004,医学生理学（1）,焦慧凤:杨建华,,麻醉学202班,52,必修,1,医学院,0,笔试考试,,,0,
421ZP004,医学生理学（1）,焦慧凤:杨建华,,麻醉学201班,53,必修,1,医学院,0,笔试考试,,,0,
421ZX006,断层解剖学,李耀斌,,麻醉学202班,51,选修,1,医学院,0,笔试考试,,,0,
421ZX006,断层解剖学,吕诚,,麻醉学201班,51,选修,1,医学院,0,笔试考试,,,0,
780GL005,大学化学（3）,袁艳丽,,麻醉学202班,52,必修,1,化学学院,0,笔试考试,,,0,
780GL005,大学化学（3）,王振兴,,麻醉学201班,52,必修,1,化学学院,0,笔试考试,,,0,
780GL025,有机化学（3）,吴涛,,麻醉学202班,55,必修,1,化学学院,0,笔试考试,,,0,
780GL025,有机化学（3）,张秋兰,,麻醉学201班,51,必修,1,化学学院,0,笔试考试,,,0,
541ZP021,系统创新方法,杨浩昌,,工业工程[201-2]班,43,必修,1,经管学院,0,笔试考试,,,0,
541ZP004,管理学,李小平,,工业工程[201-2]班,47,必修,1,经管学院,0,笔试考试,,,0,
Z81B0B0083,健康教育学,张中伟,,"临床医学[173-4]班,临床医学179班",150,必修,1,医学院,0,笔试考试,,,0,
Z81B0B0083,健康教育学,陈芳,,临床医学[175-6]班,98,必修,1,医学院,0,笔试考试,,,0,
Z81B0B0083,健康教育学,徐群英,,临床医学[171-2]班,98,必修,1,医学院,0,笔试考试,,,0,
Z81B0B0083,健康教育学,徐群英,,临床医学[177-8]班,93,必修,1,医学院,0,笔试考试,,,0,
Z81B0X0009,卫生事业管理,李琦,,"临床医学[173-4]班,临床医学179班",150,必修,1,医学院,0,笔试考试,,,0,
Z81B0X0009,卫生事业管理,李琦:习青华,,临床医学[175-6]班,95,必修,1,医学院,0,笔试考试,,,0,
Z81B0X0009,卫生事业管理,李琦,,临床医学[171-2]班,98,必修,1,医学院,0,笔试考试,,,0,
Z81B0X0009,卫生事业管理,李琦,,临床医学[177-8]班,97,必修,1,医学院,0,笔试考试,,,0,
Z81B0X0016,卫生法学,胡敏,,"临床医学[173-4]班,临床医学179班",150,必修,1,医学院,0,笔试考试,,,0,
Z81B0X0016,卫生法学,冯花,,临床医学[175-6]班,95,必修,1,医学院,0,笔试考试,,,0,
Z81B0X0016,卫生法学,冯花,,临床医学[177-8]班,93,必修,1,医学院,0,笔试考试,,,0,
Z81B0X0016,卫生法学,胡敏,,临床医学[171-2]班,102,必修,1,医学院,0,笔试考试,,,0,
Z81B0X0020,卫生学,邵立健:王槐:袁萍:张宝军,,"临床医学[173-4]班,临床医学179班",150,必修,1,医学院,0,笔试考试,,,0,
Z81B0X0020,卫生学,程祥磊:邵立健:王槐:周繁坤,,临床医学[175-6]班,95,必修,1,医学院,0,笔试考试,,,0,
Z81B0X0020,卫生学,蔡红平:邵立健:王槐:张宝军,,临床医学[177-8]班,97,必修,1,医学院,0,笔试考试,,,0,
Z81B0X0020,卫生学,陈芳:程祥磊:邵立健:王槐,,临床医学[171-2]班,98,必修,1,医学院,0,笔试考试,,,0,
Z81B0B0127,社会医学,陈家言,,"临床医学[173-4]班,临床医学179班",150,必修,1,医学院,0,笔试考试,,,0,
Z81B0B0127,社会医学,陈家言:周小军,,临床医学[175-6]班,95,必修,1,医学院,0,笔试考试,,,0,
Z81B0B0127,社会医学,陈家言:李琦,,临床医学[177-8]班,93,必修,1,医学院,0,笔试考试,,,0,
Z81B0B0127,社会医学,陈家言,,临床医学[171-2]班,102,必修,1,医学院,0,笔试考试,,,0,
Z712KB0003,毕业论文,,,社会工作171班,22,必修,1,公管学院,0,课程设计,,,0,
Z81Y0B0009,低视力学,廖洪斐:林娜娜:刘莉莉:罗洁,,眼视光学181班,21,必修,1,医学院,0,笔试考试,,,0,
Z81Y0B0011,斜视弱视学,常以力:胡晓琴:饶婷:熊芬,,眼视光学181班,21,必修,1,医学院,0,笔试考试,,,0,
Z81Y0B0006,角膜接触镜学,廖洪斐:林娜娜:毛甜:熊芬,,眼视光学181班,21,必修,1,医学院,0,笔试考试,,,0,
Z81Y0B0008,眼屈光学,林娜娜:刘艳:万生辉,,眼视光学181班,21,必修,1,医学院,0,笔试考试,,,0,
Z81Y0B0010,双眼视觉学,艾丽珍:胡晓琴:林娜娜:刘艳:饶婷:熊芬,,眼视光学181班,21,必修,1,医学院,0,笔试考试,,,0,
T7210P4006,形势与政策（4）,郁宏康,,"视觉传达（品牌设计）192班,视觉传达（包装设计）193班,舞蹈学[191-3]班,视觉传达（广告设计）191班",160,必修,1,马克思主义学院,0,笔试考试,,,0,
J523KA2013,形式基础(2),王中杰,,视觉传达（品牌设计）192班,28,必修,1,艺术学院,0,笔试考试,,,0,
Z523KB0102,编排设计,金伟,,视觉传达（品牌设计）192班,28,必修,1,艺术学院,0,笔试考试,,,0,
Z523KX0130,导向系统设计,胡卜文,,视觉传达（品牌设计）192班,28,选修,1,艺术学院,0,笔试考试,,,0,
501ZP109,现代汉语概论,孙洪忠,,法语201班,25,必修,1,人文学院,0,笔试考试,,,0,
512ZP305,法语视听（1）,罗灵琦,,法语201班,25,必修,1,外语学院,0,笔试考试,,该课程不对外专业开放,0,
512ZP304,法语会话（1）,Pierre Mercan,,法语201班,25,必修,1,外语学院,0,口试考试,,该课程不对外专业开放,0,
512GY001,二外英语（1）,陈夜雨,,"法语201班,西班牙语201班",49,必修,1,外语学院,0,笔试考试,,该课程不对外专业开放,0,
512ZP303,基础法语（2）,李砚芳,,法语201班,25,必修,1,外语学院,0,笔试考试,,该课程不对外专业开放,0,
Z5910X0206,机械制造装备设计,熊智文,,机械设计制造及其自动化[181-3]班,54,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0206,机械制造装备设计,黄波:刘旭波,,机械设计制造及其自动化[184-6]班,55,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0205,机械制造技术,顾嘉,,机械设计制造及其自动化[181-3]班,61,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0205,机械制造技术,陆远,,机械设计制造及其自动化[184-6]班,54,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0106,传感器与信号处理技术,王志勇,,机械设计制造及其自动化[181-3]班,68,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0106,传感器与信号处理技术,洪金华,,机械设计制造及其自动化[184-6]班,73,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0107,机电一体化系统设计,宋红滚,,机械设计制造及其自动化[181-3]班,79,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0107,机电一体化系统设计,宋红滚,,机械设计制造及其自动化[184-6]班,77,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0018,可靠性工程,刘卫东,,机械设计制造及其自动化[181-6]班,33,选修,1,机电学院,0,笔试考试,,,0,
T7210P0004,毛泽东思想和中国特色社会主义理论体系概论,皮艳清,,机械设计制造及其自动化[181-6]班,191,必修,1,马克思主义学院,0,笔试考试,,,0,
Z5910X0207,工程软件与应用A:CAD,江雄心,,机械设计制造及其自动化[181-3]班,72,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0207,工程软件与应用A:CAD,江雄心,,机械设计制造及其自动化[184-6]班,72,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0115,工程软件与应用B:Matlab,刘玲腾,,机械设计制造及其自动化[181-2]班,62,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0115,工程软件与应用B:Matlab,万伟民,,机械设计制造及其自动化[183-4]班,62,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0115,工程软件与应用B:Matlab,肖勇,,机械设计制造及其自动化[185-6]班,64,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0212,机械制造中的软件技术基础,范美仁,,机械设计制造及其自动化[181-6]班,17,选修,1,机电学院,0,笔试考试,,,0,
Z420LB001,毕业综合理论和技能考试,,,口腔医学161班,52,必修,1,医学院,0,其他,,,0,
Z81N0K3001,毕业实习（3）,,,口腔医学161班,52,必修,1,医学院,0,笔试考试,,,0,
Z542KB0008,毕业实习,曾荣平,,"国际商务（跨境电子商务）[171-2]班,国际商务173班",104,必修,1,经管学院,0,笔试考试,,,0,
Z5920B0007,热工测试技术,陆振宇,,能源与动力工程[181-3]班,85,必修,1,机电学院,0,笔试考试,,,0,
Z5920X0025,燃烧理论与污染控制,王洪夫,,能源与动力工程[181-3]班,45,选修,1,机电学院,0,笔试考试,,,0,
Z5910X0025,热力发电厂,余廷芳,,能源与动力工程[181-3]班,36,选修,1,机电学院,0,笔试考试,,,0,
Z5920X0021,内燃机设计,姜水生:徐勋,,能源与动力工程[181-3]班,55,选修,1,机电学院,0,笔试考试,,,0,
Z5920X0005,汽车构造与理论,姜光军,,能源与动力工程[181-3]班,42,选修,1,机电学院,0,笔试考试,,,0,
Z5920X0024,空气调节,陈杨华,,能源与动力工程[181-3]班,83,选修,1,机电学院,0,笔试考试,,,0,
Z81E0B0010,天然药物化学,毛水春:汪玢:周志望,,"药学183班,临床药学181班",72,必修,1,医学院,0,笔试考试,,,0,
Z81E0B0010,天然药物化学,毛水春:汪玢:周志望,,药学[181-2]班,93,必修,1,医学院,0,笔试考试,,,0,
Z81E0B0011,药物分析,黄惠明:廖一静:刘超:麦曦,,药学[181-2]班,92,必修,1,医学院,0,笔试考试,,,0,
J81E0Y0016,临床药理学,夏春华:徐文炜,,药学[181-3]班,134,必修,1,医学院,0,笔试考试,,,0,
Z81E0B0013,药事管理学,张雷,,药学[181-3]班,133,必修,1,医学院,0,笔试考试,,,0,
J81E0Y0007,中医药学概论,凌云,,药学[181-3]班,132,选修,1,医学院,0,笔试考试,,,0,
Z81E0X0003,中药制剂分析,,,"药学[181-3]班,临床药学181班",137,选修,1,医学院,0,笔试考试,,,0,
J81E0Y0015,生物药剂与药物动力学,,,"药学183班,临床药学181班",71,必修,1,医学院,0,笔试考试,,,0,
J81E0Y0015,生物药剂与药物动力学,郭锋:胡建华,,药学[181-2]班,92,必修,1,医学院,0,笔试考试,,,0,
T7210P4006,形势与政策（4）,樊国宝,,预防医学[191-2]班,99,必修,1,马克思主义学院,0,笔试考试,,,0,
T81B0Q0001,学科导论课,,,预防医学192班,48,必修,1,医学院,0,笔试考试,,,0,
T81B0Q0001,学科导论课,,,预防医学191班,51,必修,1,医学院,0,笔试考试,,,0,
J81A0Y0083,病理生理学（Ⅰ）,朱俊,,预防医学192班,48,必修,1,医学院,0,笔试考试,,,0,
J81A0Y0083,病理生理学（Ⅰ）,朱俊,,预防医学191班,51,必修,1,医学院,0,笔试考试,,,0,
Z81B0X0103,临床营养学,陈芳,,预防医学192班,46,选修,1,医学院,0,课程论文（报告）,,,0,
Z81B0X0103,临床营养学,陈芳,,预防医学191班,51,选修,1,医学院,0,课程论文（报告）,,,0,
J81JPY0060,药理学（Ⅰ）,陈和平:廖章萍:汤蕾,,预防医学[191-2]班,101,必修,1,医学院,0,笔试考试,,,0,
J81A0Y0037,病理学（Ⅰ）,熊小亮,,预防医学192班,48,必修,1,医学院,0,笔试考试,,,0,
J81A0Y0037,病理学（Ⅰ）,熊小亮,,预防医学191班,53,必修,1,医学院,0,笔试考试,,,0,
J81A0Y0035,分子生物学,罗达亚,,预防医学192班,48,必修,1,医学院,0,笔试考试,,,0,
J81A0Y0035,分子生物学,罗达亚,,预防医学191班,52,必修,1,医学院,0,笔试考试,,,0,
J81A0Y0039,医学遗传学（Ⅰ）,胡川,,预防医学192班,48,必修,1,医学院,0,笔试考试,,,0,
J81A0Y0039,医学遗传学（Ⅰ）,胡川,,预防医学191班,51,必修,1,医学院,0,笔试考试,,,0,
Z5940X0040,塑料成型工艺及模具设计,孙玲,,材料成型及控制工程[181-5]班,55,选修,1,机电学院,0,笔试考试,,,0,
