500611801,汉语国际教育181班,前湖校区,人文学院,汉语国际教育,,,2018,50061,15,15,,,是,汉语国际教育,,学科门类：文学
500911801,历史学181班,前湖校区,人文学院,历史学,普通本科,,2018,50091,23,23,,,是,历史学,,学科门类：历史学
500911802,历史学182班,前湖校区,人文学院,历史学,普通本科,,2018,50091,30,30,,,是,历史学,,学科门类：历史学
501011801,档案学181班,前湖校区,人文学院,档案学,普通本科,,2018,50101,17,17,,,是,档案学,,学科门类：管理学
501011802,档案学182班,前湖校区,人文学院,档案学,普通本科,,2018,50101,18,18,,,是,档案学,,学科门类：管理学
500311701,哲学171班,前湖校区,人文学院,哲学,普通本科,,2017,50031,19,19,,,是,,,学科门类：哲学
500311702,哲学172班,前湖校区,人文学院,哲学,普通本科,,2017,50031,22,22,,,是,,,学科门类：哲学
500411701,中国语言文学类171班,前湖校区,人文学院,中国语言文学类,普通本科,,2017,50041,0,,,,是,,,学科门类：文学
500411702,中国语言文学类172班,前湖校区,人文学院,中国语言文学类,普通本科,,2017,50041,0,,,,是,,,学科门类：文学
500411703,中国语言文学类173班,前湖校区,人文学院,中国语言文学类,普通本科,,2017,50041,0,,,,是,,,学科门类：文学
500411704,中国语言文学类174班,前湖校区,人文学院,中国语言文学类,普通本科,,2017,50041,0,,,,是,,,学科门类：文学
500411705,中国语言文学类175班,前湖校区,人文学院,中国语言文学类,普通本科,,2017,50041,0,,,,是,,,学科门类：文学
500411706,中国语言文学类176班,前湖校区,人文学院,中国语言文学类,普通本科,,2017,50041,0,,,,是,,,学科门类：文学
500411707,中国语言文学类177班,前湖校区,人文学院,中国语言文学类,普通本科,,2017,50041,0,,,,是,,,学科门类：文学
500511701,汉语言文学171班,前湖校区,人文学院,汉语言文学,普通本科,,2017,50051,34,34,,,是,,,学科门类：文学
500511702,汉语言文学172班,前湖校区,人文学院,汉语言文学,普通本科,,2017,50051,34,34,,,是,,,学科门类：文学
500511703,汉语言文学173班,前湖校区,人文学院,汉语言文学,普通本科,,2017,50051,32,32,,,是,,,学科门类：文学
500511704,汉语言文学174班,前湖校区,人文学院,汉语言文学,普通本科,,2017,50051,34,34,,,是,,,学科门类：文学
500511705,汉语言文学175班,前湖校区,人文学院,汉语言文学,普通本科,,2017,50051,39,39,,,是,,,学科门类：文学
500521701,汉语言文学（国学班）171班,前湖校区,人文学院,汉语言文学（国学班）,普通本科,,2017,50052,25,25,,,是,,,学科门类：文学
500611701,汉语国际教育171班,前湖校区,人文学院,汉语国际教育,,,2017,50061,20,20,,,是,,,学科门类：文学
500911701,历史学171班,前湖校区,人文学院,历史学,普通本科,,2017,50091,19,19,,,是,历史学,,学科门类：历史学
500911702,历史学172班,前湖校区,人文学院,历史学,普通本科,,2017,50091,19,19,,,是,历史学,,学科门类：历史学
501011701,档案学171班,前湖校区,人文学院,档案学,普通本科,,2017,50101,21,21,,,是,档案学,,学科门类：管理学
501011702,档案学172班,前湖校区,人文学院,档案学,普通本科,,2017,50101,23,21,,,是,档案学,,学科门类：管理学
630122001,新闻传播学类201班,前湖校区,新闻与传播学院,新闻传播学类,普通本科,,2020,63012,42,41,,,是,新闻与传播类,,学科门类：文学
630122002,新闻传播学类202班,前湖校区,新闻与传播学院,新闻传播学类,普通本科,,2020,63012,43,42,,,是,新闻与传播类,,学科门类：文学
630122003,新闻传播学类203班,前湖校区,新闻与传播学院,新闻传播学类,普通本科,,2020,63012,43,43,,,是,新闻与传播类,,学科门类：文学
630122004,新闻传播学类204班,前湖校区,新闻与传播学院,新闻传播学类,普通本科,,2020,63012,42,42,,,是,新闻与传播类,,学科门类：文学
630122005,新闻传播学类205班,前湖校区,新闻与传播学院,新闻传播学类,普通本科,,2020,63012,43,40,,,是,新闻与传播类,,学科门类：文学
630812001,播音与主持艺术201班,前湖校区,新闻与传播学院,播音与主持艺术,,,2020,63081,21,20,,,是,播音与主持艺术,,学科门类：艺术学
630812002,播音与主持艺术202班,前湖校区,新闻与传播学院,播音与主持艺术,,,2020,63081,22,22,,,是,播音与主持艺术,,学科门类：艺术学
630211901,新闻学191班,前湖校区,新闻与传播学院,新闻学,普通本科,,2019,63021,27,26,,,是,新闻学,,学科门类：文学
630211902,新闻学192班,前湖校区,新闻与传播学院,新闻学,普通本科,,2019,63021,24,24,,,是,新闻学,,学科门类：文学
630211903,新闻学193班,前湖校区,新闻与传播学院,新闻学,普通本科,,2019,63021,23,22,,,是,新闻学,,学科门类：文学
630311901,广播电视学191班,前湖校区,新闻与传播学院,广播电视学,,,2019,63031,33,32,,,是,广播电视学,,学科门类：文学
630311902,广播电视学192班,前湖校区,新闻与传播学院,广播电视学,,,2019,63031,30,30,,,是,广播电视学,,学科门类：文学
630411901,广告学191班,前湖校区,新闻与传播学院,广告学,普通本科,,2019,63041,28,28,,,是,广告学,,学科门类：文学
630411902,广告学192班,前湖校区,新闻与传播学院,广告学,普通本科,,2019,63041,29,29,,,是,广告学,,学科门类：文学
630711901,广播电视编导191班,前湖校区,新闻与传播学院,广播电视编导,,,2019,63071,25,25,,,是,广播电视编导,,学科门类：艺术学
630711902,广播电视编导192班,前湖校区,新闻与传播学院,广播电视编导,,,2019,63071,25,25,,,是,广播电视编导,,学科门类：艺术学
630811901,播音与主持艺术191班,前湖校区,新闻与传播学院,播音与主持艺术,,,2019,63081,25,25,,,是,播音与主持艺术,,学科门类：艺术学
630811902,播音与主持艺术192班,前湖校区,新闻与传播学院,播音与主持艺术,,,2019,63081,24,23,,,是,播音与主持艺术,,学科门类：艺术学
630211801,新闻学181班,前湖校区,新闻与传播学院,新闻学,普通本科,,2018,63021,23,22,,,是,新闻学,,学科门类：文学
630211802,新闻学182班,前湖校区,新闻与传播学院,新闻学,普通本科,,2018,63021,26,26,,,是,新闻学,,学科门类：文学
630211803,新闻学183班,前湖校区,新闻与传播学院,新闻学,普通本科,,2018,63021,25,25,,,是,新闻学,,学科门类：文学
630311801,广播电视学181班,前湖校区,新闻与传播学院,广播电视学,,,2018,63031,29,28,,,是,广播电视学,,学科门类：文学
630311802,广播电视学182班,前湖校区,新闻与传播学院,广播电视学,,,2018,63031,26,25,,,是,广播电视学,,学科门类：文学
630411801,广告学181班,前湖校区,新闻与传播学院,广告学,普通本科,,2018,63041,36,34,,,是,广告学,,学科门类：文学
630411802,广告学182班,前湖校区,新闻与传播学院,广告学,普通本科,,2018,63041,32,32,,,是,广告学,,学科门类：文学
630711801,广播电视编导181班,前湖校区,新闻与传播学院,广播电视编导,,,2018,63071,25,25,,,是,广播电视编导,,学科门类：艺术学
630711802,广播电视编导182班,前湖校区,新闻与传播学院,广播电视编导,,,2018,63071,25,25,,,是,广播电视编导,,学科门类：艺术学
630811801,播音与主持艺术181班,前湖校区,新闻与传播学院,播音与主持艺术,,,2018,63081,22,22,,,是,播音与主持艺术,,学科门类：艺术学
